date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-06-08,29,27,0.0,12.1,7,7,21,01:26 AM,01:36 PM,05:39 AM,07:06 PM,25,33,33,28,35,66,83,29.9,1001,29,8,150,22
2018-06-09,31,28,0.0,12.1,6,6,14,02:03 AM,02:30 PM,05:39 AM,07:07 PM,25,35,35,29,14,52,75,5.9,999,31,9,250,10
2018-06-10,32,28,0.0,13.7,7,7,6,02:42 AM,03:27 PM,05:39 AM,07:07 PM,24,36,36,31,14,39,69,0.4,1001,32,10,306,11
2018-06-11,33,29,0.0,13.7,8,8,0,03:24 AM,04:26 PM,05:39 AM,07:07 PM,22,35,35,31,9,25,58,0.0,1003,33,10,183,7
2018-06-12,30,27,0.0,10.9,6,6,0,04:10 AM,05:29 PM,05:39 AM,07:08 PM,24,33,33,29,15,74,75,9.8,1003,30,9,117,11
2018-06-13,28,27,0.0,8.6,6,6,0,05:00 AM,06:33 PM,05:39 AM,07:08 PM,25,33,33,28,13,89,84,19.7,999,28,8,189,9
2018-06-14,29,26,0.0,8.6,6,6,1,05:56 AM,07:39 PM,05:39 AM,07:08 PM,22,30,30,27,12,86,75,0.4,999,29,10,137,10
2018-06-15,27,25,0.0,8.6,6,6,9,06:57 AM,08:42 PM,05:39 AM,07:09 PM,22,30,30,27,12,90,75,0.7,1002,27,9,77,10
2018-06-16,30,27,0.0,12.1,6,6,16,08:01 AM,09:41 PM,05:40 AM,07:09 PM,23,31,31,28,22,47,74,0.1,1004,30,10,77,17
2018-06-17,31,26,0.0,13.7,7,7,24,09:07 AM,10:34 PM,05:40 AM,07:09 PM,22,32,32,29,18,19,68,0.0,1002,31,10,72,15
2018-06-18,31,27,0.0,13.3,7,7,31,10:10 AM,11:23 PM,05:40 AM,07:10 PM,24,34,34,29,17,34,74,0.1,1002,31,10,243,14
2018-06-19,31,28,0.0,13.7,7,7,39,11:12 AM,No moonset,05:40 AM,07:10 PM,26,36,36,30,18,34,78,4.9,1004,31,10,204,14
2018-06-20,31,28,0.0,13.7,7,7,46,12:11 PM,12:07 AM,05:40 AM,07:10 PM,26,37,37,30,16,30,78,4.1,1005,31,10,207,12
2018-06-21,31,28,0.0,13.7,7,7,54,01:07 PM,12:48 AM,05:40 AM,07:10 PM,25,37,37,30,14,32,76,5.4,1006,31,10,199,11
2018-06-22,31,28,0.0,12.1,7,7,61,02:02 PM,01:27 AM,05:41 AM,07:10 PM,25,35,35,29,13,49,78,5.9,1006,31,10,183,10
2018-06-23,30,28,0.0,12.1,7,7,69,02:55 PM,02:05 AM,05:41 AM,07:11 PM,25,34,34,29,17,53,79,5.7,1007,30,9,164,12
2018-06-24,31,28,0.0,13.7,7,7,77,03:49 PM,02:44 AM,05:41 AM,07:11 PM,25,35,35,29,20,33,78,1.4,1008,31,10,149,15
2018-06-25,30,28,0.0,13.7,7,7,84,04:41 PM,03:24 AM,05:41 AM,07:11 PM,24,34,34,29,22,28,76,3.6,1009,30,10,161,17
2018-06-26,31,27,0.0,13.7,7,7,92,05:34 PM,04:06 AM,05:42 AM,07:11 PM,24,35,35,30,14,24,73,3.4,1011,31,10,158,11
2018-06-27,31,27,0.0,13.7,7,7,99,06:25 PM,04:50 AM,05:42 AM,07:11 PM,25,37,37,31,6,13,72,0.6,1010,31,10,179,5
2018-06-28,32,28,0.0,13.7,7,7,100,07:15 PM,05:36 AM,05:42 AM,07:11 PM,25,37,37,31,11,9,70,0.0,1007,32,10,224,9
2018-06-29,32,29,0.0,13.7,7,7,86,08:03 PM,06:24 AM,05:42 AM,07:12 PM,25,37,37,31,17,15,74,2.2,1004,32,10,229,14
2018-06-30,32,29,0.0,13.7,7,7,78,08:47 PM,07:14 AM,05:43 AM,07:12 PM,25,37,37,31,17,17,75,5.8,1004,32,9,215,13
2018-07-01,31,28,0.0,13.7,7,7,75,09:30 PM,08:04 AM,05:43 AM,07:12 PM,26,38,38,30,16,20,77,4.3,1004,31,9,207,13
2018-07-02,31,29,0.0,13.7,6,6,68,10:10 PM,08:55 AM,05:43 AM,07:12 PM,26,37,37,30,19,26,78,4.0,1003,31,9,204,14
2018-07-03,31,29,0.0,13.7,7,7,61,10:48 PM,09:46 AM,05:44 AM,07:12 PM,26,38,38,30,19,19,77,1.5,1002,31,10,197,15
2018-07-04,32,29,0.0,13.7,7,7,54,11:25 PM,10:36 AM,05:44 AM,07:12 PM,26,37,37,30,23,20,78,5.3,1002,32,10,198,17
2018-07-05,31,28,0.0,13.7,6,6,46,No moonrise,11:28 AM,05:44 AM,07:12 PM,26,37,37,30,19,33,79,2.1,1002,31,10,196,14
2018-07-06,31,28,0.0,13.7,6,6,39,12:01 AM,12:20 PM,05:45 AM,07:12 PM,26,37,37,30,16,37,79,6.7,1003,31,9,184,12
